,year,number,percentage
0,2025,0.0,0.0
1,2026,80575.95310127958,0.38645541055769583
2,2027,191660.58847451114,0.9192354363285906
3,2028,344263.948716354,1.651146037008892
4,2029,552886.932489164,2.651735887238197
5,2030,836205.7456173701,4.01057911567084
6,2031,1217513.5054185193,5.839393311359804
7,2032,1724524.8073456944,8.27110219350453
8,2033,2387934.5020281994,11.452923271118461
9,2034,3237972.1037166524,15.529842224060683
10,2035,4298344.656337113,20.615561900897426
11,2036,5577758.618553422,26.75183989713872
12,2037,7060845.157867002,33.86496478593287
13,2038,8702260.129575409,41.73745865503793
14,2039,10428394.378623787,50.01627999339946
15,2040,12148755.607476085,58.26741298549681
16,2041,13774040.638208821,66.06254502738044
17,2042,15233716.38702967,73.06338794738451
18,2043,16486251.632193176,79.07075123354042
19,2044,17519690.359589484,84.0272918925155
20,2045,18345107.2650818,87.98612597161535
21,2046,18987437.970746715,91.06684878055978
22,2047,19477242.310373176,93.41603026557878
23,2048,19844984.73497035,95.17978290153644
24,2049,20117877.85503297,96.48862280591352
25,2050,20318635.354258124,97.45148850963129
