Quarter,sales
Q1 '10,64.9
Q2 '10,65.33
Q3 '10,71.67
Q4 '10,79.17
Q1 '11,68.78
Q2 '11,69.83
Q3 '11,78.61
Q4 '11,92.68
Q1 '12,89.28
Q2 '12,90.43
Q3 '12,97.96
Q4 '12,106.96
Q1 '13,100.66
Q2 '13,107.53
Q3 '13,117.06
Q4 '13**,119.21
Q1 '14,110.05
Q2 '14,97.42
Q3 '14,93.62
Q1 '15,97.99
Q2 '15,88.74
Q3 '15,102.06
